Well/XY,cell_id,group
WellB09_Seq0007/xy10,5,3
WellB09_Seq0007/xy10,6,2
WellB09_Seq0007/xy10,7,3
WellB09_Seq0007/xy11,0,1
WellB09_Seq0007/xy11,1,1
WellB09_Seq0007/xy12,0,1
WellB09_Seq0007/xy12,1,1
WellB09_Seq0007/xy13,0,1
WellB09_Seq0007/xy13,1,2
WellB09_Seq0007/xy13,2,1
WellB09_Seq0007/xy13,3,2
WellB09_Seq0007/xy13,4,1
WellB09_Seq0007/xy13,5,3
WellB09_Seq0007/xy13,6,3
WellB09_Seq0007/xy14,0,2
WellB09_Seq0007/xy14,1,1
WellB09_Seq0007/xy14,2,1
WellB09_Seq0007/xy14,3,1
WellB09_Seq0007/xy14,4,1
WellB09_Seq0007/xy14,5,1
WellB09_Seq0007/xy14,6,2
WellB09_Seq0007/xy15,0,3
WellB09_Seq0007/xy15,1,1
WellB09_Seq0007/xy15,2,1
WellB09_Seq0007/xy15,3,1
WellB09_Seq0007/xy15,4,1
WellB09_Seq0007/xy15,5,3
WellB09_Seq0007/xy16,0,1
WellB09_Seq0007/xy16,1,1
WellB09_Seq0007/xy16,2,2
WellB09_Seq0007/xy16,3,3
WellB09_Seq0007/xy16,4,1
WellB09_Seq0007/xy16,5,1
WellB09_Seq0007/xy17,0,1
WellB09_Seq0007/xy17,1,3
WellB09_Seq0007/xy17,2,4
WellB09_Seq0007/xy17,3,1
WellB09_Seq0007/xy18,0,1
WellB09_Seq0007/xy18,1,1
WellB09_Seq0007/xy20,0,1
WellB09_Seq0007/xy20,1,4
WellB09_Seq0007/xy21,0,2
WellB09_Seq0007/xy22,0,1
WellB09_Seq0007/xy22,1,2
WellB09_Seq0007/xy22,2,2
WellB09_Seq0007/xy23,0,1
WellB09_Seq0007/xy23,1,4
WellB09_Seq0007/xy23,2,1
WellB09_Seq0007/xy23,3,1
WellB09_Seq0007/xy24,0,1
WellB09_Seq0007/xy24,1,3
WellB09_Seq0007/xy24,2,1
WellB09_Seq0007/xy24,3,3
WellB09_Seq0007/xy24,4,1
WellB09_Seq0007/xy25,0,1
WellB09_Seq0007/xy25,1,3
WellB10_Seq0008/xy01,0,1
WellB10_Seq0008/xy01,1,2
WellB10_Seq0008/xy01,2,3
WellB10_Seq0008/xy02,0,3
WellB10_Seq0008/xy02,1,3
WellB10_Seq0008/xy02,2,3
WellB10_Seq0008/xy02,3,2
WellB10_Seq0008/xy03,0,3
WellB10_Seq0008/xy03,1,3
WellB10_Seq0008/xy03,2,1
WellB10_Seq0008/xy03,3,3
WellB10_Seq0008/xy05,0,3
WellB10_Seq0008/xy05,1,1
WellB10_Seq0008/xy05,2,3
WellB10_Seq0008/xy06,0,1
WellB10_Seq0008/xy06,1,2
WellB10_Seq0008/xy07,0,1
WellB10_Seq0008/xy07,1,2
WellB10_Seq0008/xy08,0,3
WellB10_Seq0008/xy09,0,3
WellB10_Seq0008/xy09,1,1
WellB10_Seq0008/xy09,2,1
WellB10_Seq0008/xy09,3,3
WellB10_Seq0008/xy10,0,3
WellB10_Seq0008/xy11,0,1
WellB10_Seq0008/xy11,1,1
WellB10_Seq0008/xy12,0,1
WellB10_Seq0008/xy12,1,1
WellB10_Seq0008/xy14,0,1
WellB10_Seq0008/xy14,1,1
WellB10_Seq0008/xy14,2,3
WellB10_Seq0008/xy14,3,3
WellB10_Seq0008/xy14,4,3
WellB10_Seq0008/xy14,5,1
WellB10_Seq0008/xy15,0,1
WellB10_Seq0008/xy15,1,1
WellB10_Seq0008/xy15,2,1
WellB10_Seq0008/xy15,3,1
WellB10_Seq0008/xy16,0,1
WellB10_Seq0008/xy16,1,4
WellB10_Seq0008/xy16,2,3
WellB10_Seq0008/xy16,3,1
WellB10_Seq0008/xy17,0,1
WellB10_Seq0008/xy17,1,2
WellB10_Seq0008/xy19,0,2
WellB10_Seq0008/xy20,0,3
WellB10_Seq0008/xy21,0,1
WellB10_Seq0008/xy23,0,1
WellB10_Seq0008/xy25,0,1
WellB10_Seq0008/xy25,1,3
WellB10_Seq0008/xy25,2,2
WellB10_Seq0008/xy25,3,2
WellB11_Seq0009/xy01,0,1
WellB11_Seq0009/xy01,1,1
WellB11_Seq0009/xy01,2,1
WellB11_Seq0009/xy01,3,2
WellB11_Seq0009/xy01,4,1
WellB11_Seq0009/xy01,5,1
WellB11_Seq0009/xy01,6,2
WellB11_Seq0009/xy02,0,3
WellB11_Seq0009/xy02,1,3
WellB11_Seq0009/xy03,0,2
WellB11_Seq0009/xy03,1,3
WellB11_Seq0009/xy03,2,3
WellB11_Seq0009/xy04,0,3
WellB11_Seq0009/xy04,1,1
WellB11_Seq0009/xy05,0,1
WellB11_Seq0009/xy06,0,1
WellB11_Seq0009/xy08,0,3
WellB11_Seq0009/xy08,1,3
WellB11_Seq0009/xy10,0,1
WellB11_Seq0009/xy10,1,4
WellB11_Seq0009/xy10,2,4
WellB11_Seq0009/xy11,0,1
WellB11_Seq0009/xy11,1,1
WellB11_Seq0009/xy12,0,3
WellB11_Seq0009/xy12,1,4
WellB11_Seq0009/xy13,0,2
WellB11_Seq0009/xy13,1,1
WellB11_Seq0009/xy14,0,1
WellB11_Seq0009/xy14,1,1
WellB11_Seq0009/xy14,2,3
WellB11_Seq0009/xy14,3,2
WellB11_Seq0009/xy14,4,3
WellB11_Seq0009/xy14,5,4
WellB11_Seq0009/xy15,0,1
WellB11_Seq0009/xy15,1,3
WellB11_Seq0009/xy15,2,4
WellB11_Seq0009/xy16,0,1
WellB11_Seq0009/xy16,1,1
WellB11_Seq0009/xy16,2,1
WellB11_Seq0009/xy18,0,3
WellB11_Seq0009/xy18,1,3
WellB11_Seq0009/xy18,2,3
WellB11_Seq0009/xy19,0,1
WellB11_Seq0009/xy19,1,3
WellB11_Seq0009/xy22,0,3
WellB11_Seq0009/xy22,1,3
WellB11_Seq0009/xy22,2,4
WellB11_Seq0009/xy23,0,3
WellB11_Seq0009/xy25,0,2
